PROCESS_ID,COMPONENT_ID,TRANSACTION_ID,SESSION_ID,EVENT_TIMESTAMP,EVENT_TYPE,DIVISION_ID,GROUP_ID,SUBSCRIBER_ID,SUBSCRIBER_TYPE,DEVICE_ID,PLAN_ID,NOTIFICATION_TYPE,NOTIFICATION_ADDRESS,USAGE,CHARGE_AMOUNT,
PROCESS_2,COMPONENT_3,1483246806760981.93,Gx.1483246806761074,2017/01/01 00:00:06.760981,FAIR_USAGE_POLICY,B25,BUSG_461,0255583520994098,BUS,4043494317,BUS_PLAN_X,EMAIL,0255583520994098@bus-example.com,762314752,72.700,
PROCESS_1,COMPONENT_2,1483246803007177.74,Gx.1483246803007251,2017/01/01 00:00:03.007177,FAIR_USAGE_POLICY,B25,REGG_502,0010914881468150,REG,3195646596,REG_PLAN_2,SMS,3195646596,435159040,41.500,
PROCESS_1,COMPONENT_1,1483246803298212.57,Gx.1483246803298269,2017/01/01 00:00:03.298212,FAIR_USAGE_POLICY,B25,VIPG_386,0002512160286130,VIP,2562009485,BUS_PLAN_1,SMS,2562009485,51380224,0.000,
PROCESS_1,COMPONENT_1,1483246801040847.61,Gx.1483246801040908,2017/01/01 00:00:01.040847,FAIR_USAGE_POLICY,B25,REGG_902,0004425155825582,REG,3210188774,REG_PLAN_1,EMAIL,0004425155825582@reg-example.com,9437184,0.900,
PROCESS_1,COMPONENT_1,1483246808211736.16,Gx.1483246808211752,2017/01/01 00:00:08.211736,FAIR_USAGE_POLICY,B25,REGG_477,0278693579419020,REG,2842770555,REG_PLAN_1,EMAIL,0278693579419020@reg-example.com,48234496,4.600,
PROCESS_1,COMPONENT_1,1483246805805287.94,Gx.1483246805805381,2017/01/01 00:00:05.805287,FAIR_USAGE_POLICY,B25,REGG_369,0167086845669572,REG,3308636233,REG_PLAN_2,EMAIL,0167086845669572@reg-example.com,511705088,48.800,
PROCESS_1,COMPONENT_1,1483246807666068.64,Gx.1483246807666132,2017/01/01 00:00:07.666068,FAIR_USAGE_POLICY,B25,REGG_461,0122043352731185,REG,1325955182,REG_PLAN_1,SMS,1325955182,5242880,0.500,
PROCESS_1,COMPONENT_4,1483246800377949.85,Gx.1483246800378034,2017/01/01 00:00:00.377949,FAIR_USAGE_POLICY,B25,REGG_146,0078574654686697,REG,1344302172,REG_PLAN_1,EMAIL,0078574654686697@reg-example.com,98566144,9.400,
PROCESS_2,COMPONENT_1,1483246804083943.79,Gx.1483246804084022,2017/01/01 00:00:04.083943,FAIR_USAGE_POLICY,B25,REGG_104,0027658335324431,REG,2724548940,REG_PLAN_X,SMS,2724548940,1008730112,96.200,
PROCESS_1,COMPONENT_3,1483246807814759.18,Gx.1483246807814777,2017/01/01 00:00:07.814759,FAIR_USAGE_POLICY,B25,BUSG_404,0141002148992121,BUS,4247481000,BUS_PLAN_X,EMAIL,0141002148992121@bus-example.com,33554432,3.200,
PROCESS_1,COMPONENT_2,1483246812966888.62,Gx.1483246812966950,2017/01/01 00:00:12.966888,FAIR_USAGE_POLICY,B25,BUSG_310,0090060997343082,BUS,3522791722,BUS_PLAN_1,EMAIL,0090060997343082@bus-example.com,7340032,0.700,
PROCESS_1,COMPONENT_2,1483246807480962.40,Gx.1483246807481002,2017/01/01 00:00:07.480962,FAIR_USAGE_POLICY,B25,REGG_362,0106558004024471,REG,3770872027,REG_PLAN_1,SMS,3770872027,28311552,2.700,
PROCESS_1,COMPONENT_1,1483246803353044.51,Gx.1483246803353095,2017/01/01 00:00:03.353044,FAIR_USAGE_POLICY,B25,BUSG_483,0002569013221799,BUS,4201722442,BUS_PLAN_1,EMAIL,0002569013221799@bus-example.com,40894464,3.900,
PROCESS_1,COMPONENT_2,1483246812427635.32,Gx.1483246812427667,2017/01/01 00:00:12.427635,FAIR_USAGE_POLICY,B25,REGG_256,0223092591300432,REG,3156068785,REG_PLAN_1,EMAIL,0223092591300432@reg-example.com,92274688,8.800,
PROCESS_2,COMPONENT_2,1483246810318033.17,Gx.1483246810318050,2017/01/01 00:00:10.318033,FAIR_USAGE_POLICY,B25,REGG_542,0273387437014311,REG,0226388055,REG_PLAN_1,EMAIL,0273387437014311@reg-example.com,94371840,9.000,
PROCESS_2,COMPONENT_1,1483246802859969.62,Gx.1483246802860031,2017/01/01 00:00:02.859969,FAIR_USAGE_POLICY,B25,REGG_347,0277326095360979,REG,0271823031,REG_PLAN_1,SMS,0271823031,101711872,9.700,
PROCESS_1,COMPONENT_1,1483246801584787.65,Gx.1483246801584852,2017/01/01 00:00:01.584787,FAIR_USAGE_POLICY,B25,REGG_418,0050201085909300,REG,1237563152,REG_PLAN_2,EMAIL,0050201085909300@reg-example.com,130023424,12.400,
PROCESS_1,COMPONENT_3,1483246810610074.75,Gx.1483246810610149,2017/01/01 00:00:10.610074,FAIR_USAGE_POLICY,B25,REGG_131,0212893568535196,REG,3342612883,REG_PLAN_1,SMS,3342612883,2097152,0.200,
PROCESS_1,COMPONENT_2,1483246809583512.35,Gx.1483246809583547,2017/01/01 00:00:09.583512,FAIR_USAGE_POLICY,B25,REGG_197,0251557133405964,REG,1840439754,REG_PLAN_1,EMAIL,0251557133405964@reg-example.com,30408704,2.900,
PROCESS_1,COMPONENT_1,1483246812670136.61,Gx.1483246812670197,2017/01/01 00:00:12.670136,FAIR_USAGE_POLICY,B25,REGG_495,0242141187511274,REG,1875735967,REG_PLAN_1,EMAIL,0242141187511274@reg-example.com,72351744,6.900,
PROCESS_1,COMPONENT_2,1483246805898609.95,Gx.1483246805898704,2017/01/01 00:00:05.898609,FAIR_USAGE_POLICY,B25,REGG_216,0118416508192141,REG,0492244953,REG_PLAN_2,SMS,0492244953,216006656,20.600,
PROCESS_1,COMPONENT_1,1483246805018939.14,Gx.1483246805018953,2017/01/01 00:00:05.018939,FAIR_USAGE_POLICY,B25,REGG_614,0036596003963486,REG,3031608935,REG_PLAN_1,EMAIL,0036596003963486@reg-example.com,47185920,4.500,
PROCESS_1,COMPONENT_3,1483246807092571.22,Gx.1483246807092593,2017/01/01 00:00:07.092571,FAIR_USAGE_POLICY,B25,REGG_399,0021822587279751,REG,4019173202,REG_PLAN_2,SMS,4019173202,90177536,8.600,
PROCESS_2,COMPONENT_2,1483246811011193.11,Gx.1483246811011204,2017/01/01 00:00:11.011193,FAIR_USAGE_POLICY,B25,BUSG_376,0240288966693931,BUS,1770326975,BUS_PLAN_1,EMAIL,0240288966693931@bus-example.com,32505856,3.100,
PROCESS_1,COMPONENT_2,1483246803866445.10,Gx.1483246803866455,2017/01/01 00:00:03.866445,FAIR_USAGE_POLICY,B25,REGG_358,0014486963766783,REG,2517914755,REG_PLAN_X,EMAIL,0014486963766783@reg-example.com,877658112,83.700,
PROCESS_1,COMPONENT_4,1483246806315133.58,Gx.1483246806315191,2017/01/01 00:00:06.315133,FAIR_USAGE_POLICY,B25,VIPG_438,0051560951164044,VIP,0404217446,BUS_PLAN_1,EMAIL,0051560951164044@vip-example.com,100663296,0.000,
PROCESS_2,COMPONENT_4,1483246811634451.01,Gx.1483246811634452,2017/01/01 00:00:11.634451,FAIR_USAGE_POLICY,B25,REGG_502,0224619212616505,REG,3394998347,REG_PLAN_X,EMAIL,0224619212616505@reg-example.com,248512512,23.700,
PROCESS_1,COMPONENT_2,1483246805257458.88,Gx.1483246805257546,2017/01/01 00:00:05.257458,FAIR_USAGE_POLICY,B25,NONE,0112476119334820,REG,0022395358,REG_PLAN_2,EMAIL,0112476119334820@reg-example.com,239075328,22.800,
PROCESS_2,COMPONENT_1,1483246801426845.11,Gx.1483246801426856,2017/01/01 00:00:01.426845,FAIR_USAGE_POLICY,B25,REGG_146,0087565573096411,REG,0741201328,REG_PLAN_2,SMS,0741201328,284164096,27.100,
PROCESS_2,COMPONENT_2,1483246813801738.19,Gx.1483246813801757,2017/01/01 00:00:13.801738,FAIR_USAGE_POLICY,B25,REGG_517,0258756752818750,REG,2701313209,REG_PLAN_1,EMAIL,0258756752818750@reg-example.com,97517568,9.300,
PROCESS_2,COMPONENT_1,1483246807807787.25,Gx.1483246807807812,2017/01/01 00:00:07.807787,FAIR_USAGE_POLICY,B25,BUSG_554,0009866824725460,BUS,0495959088,BUS_PLAN_1,EMAIL,0009866824725460@bus-example.com,67108864,6.400,
PROCESS_1,COMPONENT_1,1483246812277186.83,Gx.1483246812277269,2017/01/01 00:00:12.277186,FAIR_USAGE_POLICY,B25,REGG_366,0107853521214858,REG,4284831473,REG_PLAN_1,EMAIL,0107853521214858@reg-example.com,28311552,2.700,
PROCESS_1,COMPONENT_1,1483246813482195.68,Gx.1483246813482263,2017/01/01 00:00:13.482195,FAIR_USAGE_POLICY,B25,EMPG_191,0165237014585912,EMP,3083863872,BUS_PLAN_2,EMAIL,0165237014585912@emp-example.com,516947968,0.000,
PROCESS_1,COMPONENT_3,1483246810596064.01,Gx.1483246810596065,2017/01/01 00:00:10.596064,FAIR_USAGE_POLICY,B25,REGG_788,0053398232013714,REG,4286148714,REG_PLAN_1,EMAIL,0053398232013714@reg-example.com,59768832,5.700,
PROCESS_2,COMPONENT_2,1483246813394771.48,Gx.1483246813394819,2017/01/01 00:00:13.394771,FAIR_USAGE_POLICY,B25,REGG_253,0220846611637937,REG,1669718792,REG_PLAN_X,SMS,1669718792,313524224,29.900,
PROCESS_1,COMPONENT_1,1483246813487932.99,Gx.1483246813488031,2017/01/01 00:00:13.487932,FAIR_USAGE_POLICY,B25,REGG_443,0233009323803884,REG,3045492461,REG_PLAN_1,EMAIL,0233009323803884@reg-example.com,83886080,8.000,
PROCESS_2,COMPONENT_2,1483246805088936.60,Gx.1483246805088996,2017/01/01 00:00:05.088936,FAIR_USAGE_POLICY,B25,EMPG_276,0182506220472693,EMP,1259686727,BUS_PLAN_2,EMAIL,0182506220472693@emp-example.com,415236096,0.000,
PROCESS_2,COMPONENT_4,1483246813598524.37,Gx.1483246813598561,2017/01/01 00:00:13.598524,FAIR_USAGE_POLICY,B25,BUSG_178,0258117772431957,BUS,2966589440,BUS_PLAN_1,EMAIL,0258117772431957@bus-example.com,33554432,3.200,
PROCESS_1,COMPONENT_4,1483246813760767.88,Gx.1483246813760855,2017/01/01 00:00:13.760767,FAIR_USAGE_POLICY,B25,REGG_105,0176715781090916,REG,2237241875,REG_PLAN_1,EMAIL,0176715781090916@reg-example.com,52428800,5.000,
